doc_id,true_category,predicted_category,confidence,top_words,category_prob_final_approval,category_prob_preliminary_approval,category_prob_voluntary_dismissal
"Louis et al v. SAFERENT SOLUTIONS, LLC et al - Entry 135",final-approval,final-approval,0.7756194407427452,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.7753460488224253,0.3789168099283911,0.12793756195153447
Sellers et al v. Trustees of Boston College et al - Entry 140,final-approval,final-approval,0.8380622558815227,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.8666386053687289,0.2863423738612041,0.02807608308026758
Getz v. Nelson et al - Entry 32,final-approval,final-approval,0.7755848355395408,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.7809735346652645,0.48629574911411017,0.02806572202535782
"Perkins v. Ryder Integrated Logistics, Inc. - Entry 75",final-approval,final-approval,0.8488131734092945,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.8319759979989081,0.40802188577947773,0.02800576385152701
Seidner et al v. Kimberly-Clark Corporation et al - Entry 127,final-approval,final-approval,0.8391182233907623,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.8524136602444982,0.3662848030766407,0.02806328957258683
WILSON v. MOMS ORGANIC HOLDING CO. et al - Entry 26,final-approval,final-approval,0.8011506415518401,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.81993339564175,0.4225116403005464,0.1279735707744612
IN RE APPLE INC. SECURITIES LITIGATION - Entry 445,final-approval,preliminary-approval,1.031928458603857,"preliminary_approval, settlement, preliminary_motion, approval, final_approval, proposed_settlement, class, motion, order, final",0.3535279063978046,1.0672182955771383,0.02379018062124652
"Miller et al v. Wells Fargo Bank, N.A. et al - Entry 92",final-approval,final-approval,0.7619220553209417,"motion, final_approval, fund, class, settlement, final, reserve, approval, california, com",0.8665709565092339,0.4464064622544099,0.028090324945424423
Moore v. GlaxoSmithKline Consumer Healthcare Holdings (US) LLC et al - Entry 150,final-approval,preliminary-approval,0.8411655942444566,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.5363475745613551,0.886017850501089,0.025304216687737434
"Miguel et al v. Salesforce.com, Inc. et al - Entry 199",final-approval,final-approval,0.8555089942307936,"class, settlement, preliminary_approval, proposed_settlement, settlement_class, preliminary_motion, plan, class_certification, any, approval",0.8666553318774739,0.4463265276950246,0.028072561710005484
In re College Athlete NIL Litigation - Entry 978,final-approval,final-approval,0.8489284198799933,"conference, student, proposed_settlement, division, final_approval, rule, settlement, compensation, receive, class",0.866469020742012,0.48650303298125164,0.12811178510694482
"Hayman et al v. Mastercard, Inc. - Entry 27",final-approval,final-approval,0.7024522348560789,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.7034851181677049,0.5452964313939429,0.12781547471829496
"McGinnes et al v. FirstGroup America, Inc. et al - Entry 190",final-approval,final-approval,0.6453329011478066,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.6481998179353384,0.5500817386120676,0.026732066554605256
"Cimino et al v. ETZ Hayim Holdings, S.P.C. - Entry 29",final-approval,final-approval,0.8449117831268578,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.8639344928369883,0.4889041646807478,0.028645369929055083
"In re Red Roof Inns, Inc. Data Incident Litigation - Entry 34",final-approval,final-approval,0.8588590793686965,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.8667396521727064,0.4862466453100674,0.12805481006890387
"Eichmann v. Delta Air Lines, Inc. - Entry 167",final-approval,final-approval,0.7453409512237441,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.7242653616756105,0.5201922119507603,0.027955414079708148
Conlon et al v. The Northern Trust Company et al - Entry 145,final-approval,final-approval,0.8437884134281475,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.8484750364909412,0.37001613084316837,0.028892473520704086
Urlaub et al v. Citgo Petroleum Corporation et al - Entry 175,final-approval,final-approval,0.8567658453099081,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.8667472369720877,0.3662394597106537,0.028053213269034153
In re MCG Health Data Security Issue Litigation - Entry 95,final-approval,preliminary-approval,1.0705275692805665,"preliminary_approval, settlement, preliminary_motion, approval, final_approval, proposed_settlement, class, motion, order, final",0.3535035323546653,1.1072605439185799,0.12377934771318458
"IN RE_ Mednax Services, Inc., Customer Data Security Breach Litigation - Entry 328",final-approval,preliminary-approval,0.7344004119553558,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.6423405480051716,0.7577636840316033,0.026189715301825445
IN RE_ MOVEit Customer Data Security Breach Litigation - Entry 1485,final-approval,final-approval,0.8599850022164175,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.8666921211659144,0.2862916746849231,0.028064816596649587
"Rzepkoski et al v. Nova Southeastern University, Inc. - Entry 108",final-approval,final-approval,0.7693351407593718,"settlement, class, final_approval, class_certification, final, proposed_settlement, plan, approval, order, settlement_agreement",0.7809475520145093,0.36632036425693104,0.028071192057095788
"Cipolla et al v. Team Enterprises, LLC et al - Entry 243",final-approval,final-approval,0.7622044975549764,"motion, final_approval, fund, class, settlement, final, reserve, approval, california, com",0.8666185509804203,0.2863613727553912,0.0280803050567536
"LUENSE et al v. KONICA MINOLTA BUSINESS SOLUTIONS U.S.A., INC. et al - Entry 147",final-approval,final-approval,0.8580065406398965,"class, settlement, preliminary_approval, proposed_settlement, settlement_class, preliminary_motion, plan, class_certification, any, approval",0.8667128986562929,0.3662719907466698,0.028060442388148848
Ferris et al v. Wynn Resorts Limited et al - Entry 443,final-approval,final-approval,0.7721979572004504,"settlement, class, preliminary_approval, proposed_settlement, class_certification, agreement, final_approval, settlement_agreement, approval, settlement_class",0.7809752693491558,0.48629410572937104,0.02806535682874914
BINDER et al v. PPL CORPORATION et al - Entry 170,final-approval,preliminary-approval,0.8828561874528817,"preliminary_approval, settlement, proposed_settlement, class, preliminary_motion, class_certification, approval, proposed, preliminary, agreement",0.3396251722519973,0.9065544633346331,0.023960394016760696
"Haff Poultry, Inc. et al v. Pilgrim Pride Corporation - Entry 857",final-approval,final-approval,0.8369523085310526,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.8373742478184754,0.44846735678071237,0.05556962153093085
Samson v. UnitedHealthCare Services Inc - Entry 358,final-approval,preliminary-approval,0.8322945074651146,"preliminary_approval, settlement, proposed_settlement, class, preliminary_motion, class_certification, approval, proposed, preliminary, agreement",0.4469171952167248,0.8742173291192677,0.02456836385055196
"Thornton v. Mindvalley, Inc. - Entry 89",final-approval,final-approval,0.7753708143508327,"motion, final_approval, fund, class, settlement, final, reserve, approval, california, com",0.8666729834040854,0.4863098051961296,0.028068845599139927
"Jien et al v. Perdue Farms, Inc. et al - Entry 1011",final-approval,final-approval,0.8606466244537616,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.866674164977344,0.4863086858109373,0.028068596846874953
Wilson v. Xerox Holdings Corporation et al - Entry 46,voluntary-dismissal,voluntary-dismissal,0.47674823986113996,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.22132260652185834,0.09967681811183443,0.4790005753663072
"Key v. Safelite Group, Inc. et al - Entry 13",voluntary-dismissal,voluntary-dismissal,0.47160719979242294,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.21622482874643276,0.10176288057377418,0.4820122906797929
Flexer v. Kraft Heinz Food Company - Entry 13,voluntary-dismissal,voluntary-dismissal,0.5350212302523367,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.16499045212795505,0.09922754509314054,0.5357820027789044
"Maurer, Mark v. Marten Transport, Ltd. - Entry 4",voluntary-dismissal,voluntary-dismissal,0.4818980515895721,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.20401128671245,0.10007057989948376,0.4959181333880662
ZUERN v. LIXIL USA CORPORATION - Entry 5,voluntary-dismissal,voluntary-dismissal,0.7064830112217442,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.09730395299582378,0.10032492233775177,0.7023711246664244
Murphy v. Deere & Company - Entry 30,voluntary-dismissal,voluntary-dismissal,0.6428356353658006,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.1659487150408385,0.0991007414253553,0.6349505435338062
"Musick et al v. Dotdash Meredith, Inc. - Entry 16",voluntary-dismissal,voluntary-dismissal,0.7444886802279604,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05835260508746528,0.09725434181244212,0.7443930531000924
"McKenzie v. Seismic Software, Inc. - Entry 3",voluntary-dismissal,voluntary-dismissal,0.7446745142227852,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05827368288306175,0.09712280480510292,0.7446035123118353
"Xinuos, Inc. v. International Business Machines Corporation et al - Entry 252",voluntary-dismissal,voluntary-dismissal,0.48942803868955975,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.3752162107546696,0.10093640638307042,0.4952759542908314
CENTER FOR ENVIORNMENTAL HEALTH v. ENTEGRIS INC - Entry 13,voluntary-dismissal,voluntary-dismissal,0.6442091114182756,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.058474146471396746,0.09745691078566124,0.6440689427429418
L. W. et al v. Skrmetti et al - Entry 208,voluntary-dismissal,final-approval,0.37471988155868907,"class, settlement, preliminary_approval, proposed_settlement, settlement_class, preliminary_motion, plan, class_certification, any, approval",0.3885325883685357,0.10239662085556121,0.309070790775903
Runyan v. VIA Credit Union - Entry 7,voluntary-dismissal,voluntary-dismissal,0.5876892103282857,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.20006517821332878,0.10112838791198231,0.5988064338746887
"Patagonia, Inc. v. Be Hippy, LLC et al - Entry 12",voluntary-dismissal,voluntary-dismissal,0.7320193836349377,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05801687245986134,0.09669478743310223,0.7452883401070363
Jones v. Skullcandy - Entry 19,voluntary-dismissal,voluntary-dismissal,0.7451158486498196,"david, law, voluntary_dismissal, com, suite, stipulated_dismissal, tel, legal, rigrodsky, take",0.05809277111228281,0.096821285187138,0.745085943700579
"Jar Capital, LLC v. Auburn Hills, City of - Entry 8",voluntary-dismissal,voluntary-dismissal,0.644911106459658,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05817527666602984,0.09695879444338307,0.644865928890587
"In re Legends International, LLC, Data Breach Litigation - Entry 22",voluntary-dismissal,voluntary-dismissal,0.8353137352534192,"com, pllc, suite, voluntary_dismissal, 872, 263, hereby, andrew, telephone, without",0.05799930889835816,0.09666551483059693,0.8453351762710448
Millette v. Nvidia Corporation - Entry 33,voluntary-dismissal,voluntary-dismissal,0.43881606398766476,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.2732131638745772,0.1005602950778291,0.4262265410475935
"Micheli & Shel, LLC v. Grubhub Inc. et al - Entry 104",voluntary-dismissal,voluntary-dismissal,0.7214317299745604,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.08121832370684216,0.09897990650960721,0.7198017697835507
Mayor and City Council of Baltimore et al v. Vought et al - Entry 50,voluntary-dismissal,final-approval,0.47317468179862915,"motion, final_approval, fund, class, settlement, final, reserve, approval, california, com",0.48717173755757,0.10615789337668256,0.4066703690657474
Arellano et al v. Honda Development & Manufacturing of America LLC - Entry 2,voluntary-dismissal,voluntary-dismissal,0.7443930113492568,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.058393813528163675,0.09732302254693946,0.7442831639248967
"Young v. UCM Medical Group Sub, LLC, d_b_a UChicago Medicine Medical Group et al - Entry 8",voluntary-dismissal,voluntary-dismissal,0.6673979507089772,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.13474668828948966,0.10284072048613532,0.662412591224375
"Fontana et al v. Credit Sesame, Inc. - Entry 16",voluntary-dismissal,voluntary-dismissal,0.8320337603454784,"com, pllc, suite, voluntary_dismissal, 872, 263, hereby, andrew, telephone, without",0.05800230073417952,0.09667050122363255,0.8453271980421877
NORTH AMERICA'S BUILDING TRADES UNIONS et al v. DEPARTMENT OF DEFENSE et al - Entry 22,voluntary-dismissal,voluntary-dismissal,0.43014178809279974,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05628123114880039,0.32741471226320723,0.41630405658799235
"J.M. v. Berkeley Research Group, LLC - Entry 17",voluntary-dismissal,voluntary-dismissal,0.6350232212860105,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.15755381457447667,0.09842822595089176,0.6440179594746314
"Saylor v. Caribou Biosciences, Inc. et al - Entry 33",voluntary-dismissal,voluntary-dismissal,0.48327308175901557,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.05680467535695586,0.27487949476159085,0.46831582988145326
"McMillan v. Telephone and Data Systems, Inc. et al - Entry 30",voluntary-dismissal,voluntary-dismissal,0.6401870466338656,"david, law, voluntary_dismissal, com, suite, stipulated_dismissal, tel, legal, rigrodsky, take",0.05818622367953688,0.09697703946589478,0.6448367368545682
GAVIN v. GREEN et al - Entry 4,voluntary-dismissal,voluntary-dismissal,0.5014647217833765,"david, law, voluntary_dismissal, com, suite, stipulated_dismissal, tel, legal, rigrodsky, take",0.20596621732427337,0.09929910427956481,0.49473467839616175
Janie & Jack LLC v. Abbasi et al - Entry 74,voluntary-dismissal,voluntary-dismissal,0.6715678056476676,"voluntary_dismissal, stipulated_dismissal, dismissal, prejudice, voluntary, com, notice_voluntary, without, 2025, inc",0.12765734442678603,0.10002363042288648,0.6723190251503274
"Dean v. New York Blood Center, Inc. - Entry 24",voluntary-dismissal,voluntary-dismissal,0.8330630469998805,"com, pllc, suite, voluntary_dismissal, 872, 263, hereby, andrew, telephone, without",0.05800771930781039,0.09667953217968399,0.8453127485125056
"AerSale, Inc. v. Atrium Underwriters Limited et al - Entry 30",voluntary-dismissal,voluntary-dismissal,0.48932008363058843,"com, pllc, suite, voluntary_dismissal, 872, 263, hereby, andrew, telephone, without",0.20399542597984255,0.09922501715745062,0.49677955686270675
Sidibe v. Sutter Health - Entry 1745,preliminary-approval,preliminary-approval,0.8583786968438153,"hac, vice, pro, preliminary_approval, com, llp, class, proposed_settlement, preliminary, preliminary_motion",0.12496555761860759,0.9072025572706037,0.02379421608446052
Siqueiros v. General Motors LLC - Entry 723,preliminary-approval,final-approval,0.7250850811256899,"settlement, final_approval, proposed_settlement, class, preliminary_approval, approval, final, proposed, inc, order",0.7206430366962129,0.6630160703759714,0.026843571323810916
"Brian Donley v. Live Nation Entertainment, Inc. et al - Entry 88",preliminary-approval,preliminary-approval,0.899416132526449,"preliminary_approval, motion, class, preliminary_motion, settlement, proposed_settlement, preliminary, approval, class_certification, class_action",0.33924526879420713,0.9872129626614692,0.023791548035520648
SMITH et al v. APRIA HEALTHCARE LLC - Entry 135,preliminary-approval,preliminary-approval,1.0426774146952593,"preliminary_approval, motion, class, preliminary_motion, settlement, proposed_settlement, preliminary, approval, class_certification, class_action",0.3535473605898802,1.1071845749775406,0.023798826928835646
"Cipolla et al v. Team Enterprises, LLC et al - Entry 216",preliminary-approval,preliminary-approval,0.7908786988813613,"preliminary_approval, motion, class, preliminary_motion, settlement, proposed_settlement, preliminary, approval, class_certification, class_action",0.5011132886860429,0.8249349189265056,0.025726659827583216
